"","SpeciesID","all.biomass","OrganismType","NodeColor","NodeShape","NodeName","TrophicLevel","Description","ImageFile","Caption","ImageSource","ImageLiscence","X","X.1","X.2"
"101",207,0.0001507,"Bird","Maroon-11","Circle","Western Sandpiper",3.13352580295922,"The Western Sandpiper is the smallest species of sandpipers and is unlikely to be significantly impacted by climate change.","west-sandpiper.jpg","Western Sandpiper standing on branches above water.","Ron Knight","Free to copy and adapt with credit","","",""
"102",208,0.0192895,"Bird","Maroon-11","Circle","Whimbrel",3.64097031238983,"Whimbrels are a shorebird that occurs in North America. They are highly vulnerable to climate change, and are still recovering from historically depleted populations.","whimbrel.jpg","Whimbrel standing in shallow water.","Ron Knight","Free to copy and adapt with credit","","",""
"103",209,0.7094073,"Bird","Maroon-11","Circle","Willet",3.37113501465709,"Willets are large shorebirds that occur in prairie and salt marshes in North America. They are vulnerable to habitat disturbance and loss.","willet.jpg","Willet flying over water.","Magnus Manske","Free to copy and adapt with credit","","",""
"104",210,0.9857072,"Mammal","Orange/brown-13","Circle","Raccoon",3.88907722365679,"Racoons are medium-sized, nocturnal mammal. Nocturnal animals are chategorized by sleeping during the day and being active at night. Raccoons are considered to be very resilient animals.","raccoon.jpg","Raccoon sitting in tree.","Alexas_Fotos at pixabay","Free for commercial use","","",""
"105",211,6.720049779,"Crustacean","Teal-3","Circle","Copepod-Thalassinidea",2.99999999999999,"Copepod-Thalassinidea are small crustaceans. ","copepod.jpg","Copepod.","Jacabo Werther","Free to copy and adapt with credit","","",""
"106",212,95.2,"Plant","Bright Green-14","Circle","Salt Marsh Bird's Beak",2.00000000000002,"Salt Marsh Bird's Beak is a rare flowering species.","","","","","","",""
"107",213,120.07843,"Plant","Bright Green-14","Circle","Dodder",2.00000000000001,"Dodder is a plant species that occurs across the United States and Canada.","dodder.jpg","Close up of a Dodder plant.","Jason Hollinger","Free to copy and adapt with credit","","",""
"108",350,45684.9337,"Ecosystem Service","Dark Pink-4","Square","Wave Attenuation",2.00000000000001,"Wave attenuation is the decrease in wave intensity. Plants and other aquatic structures (e.g., coral reefs) play a large role in taming waves and violent storms that could damage shorelines.","wave.jpg","Ocean waves.","Pexels at pixabay","Free for commercial use","","",""
"109",450,47509.3846,"Ecosystem Service","Dark Pink-4","Square","Shoreline Stabilization",2,"Shoreline protection is the strengthening and stabilizing of coastal areas. Naturally, plants with deep roots can prevent erosion, enhancing shoreline protection.","saltmarsh.jpg","Saltmarsh.","Emphyrio at pixabay","Free for commercial use","","",""
"110",550,49779.82555,"Ecosystem Service","Dark Pink-4","Square","Carbon Sequestration",3.21427618432353,"Carbon storage (also known as carbon sequestration) is the process of capturing and storing carbon. Carbon can be stored in plants, soils and other organic materials.","carbon.jpg","Salt marsh with vehicle in the background.","jeanlouisservais at pixabay","Free for commercial use","","",""
"111",650,47789.69028,"Ecosystem Service","Dark Pink-4","Square","Water Filtration",2.81799591002045,"Water filtration is the process of removing and reducing the number of particles suspended in water. This helps improve water clarity by reducing sediment loads.","filtration.jpg","Mussels filtering water.","zoosnow at pixabay","Free for commercial use","","",""
"112",750,0.9714345,"Ecosystem Service","Dark Pink-4","Square","Commercial Fishery",3.95586661753483,"Commercial fisheries are large-scale harvesting operations that target fish and other seafood for commercial profit. These fisheries do not occur in salt marshes. However, salt marshes and other coastal ecosystems like mangroves provide importance habitat and breeding grounds for many commercially important species.","comm-fish.jpg","Commercial fishing boat in a harbor.","PublicDomainPictures at pixabay","Free for commercial use","","",""
"113",850,0.369631471,"Ecosystem Service","Dark Pink-4","Square","Birdwatching",4.87259401548556,"Birdwatching, or birding, is a type of wildlife viewing, where people track, look and listen for birds. This can be done for recreation and/or citizen science.","birdwatch.jpg","Binoculars on bird guide.","stevepb at pixabay","Free for commercial use","","",""
"114",950,0.8204547,"Ecosystem Service","Dark Pink-4","Square","Waterfowl Hunting",3.95981242388369,"Waterfowl hunting is the activity of hunting ducks, geese or other water birds for fun and/or food.","wfowl-hunt.jpg","Dog carrying waterfowl in grass.","karisjo at pixabay","Free for commercial use","","",""
"115",1050,584.6903931,"Ecosystem Service","Dark Pink-4","Square","Recreational Fishery",3.96106811889137,"Recreational fishing involves fishing for fun. This type of fishing can take place on small boats, on the shoreline, or on piers in salt marshes.","rec-fish.jpg","Fishing rod on pier over water.","aranha at pixabay","Free for commercial use","","",""
